name,goal,assist,cs,npxg,g,bcc,xa,bc,total_minn,total_goly,total_pen,total_pas,total_zhelt,total_kras
Steven Bergwijn,0.12,0.12,0.13,1.33,0,0,0.18,4,,,,,,
Adrián Bernabé,0.00,0.00,0.00,None,None,None,None,None,,,,,,
Bernard,0.12,0.20,0.25,0.2,0,0,0.12,0,,,,,,
Bernardo,0.12,0.20,0.25,0.14,0,0,0.22,0,,,,,,
Bernardo Rosa,0.02,0.02,0.10,None,None,None,None,None,,,,,,
Bernardo Silva,0.15,0.08,0.27,None,None,None,None,None,,,,,,
Ryan Bertrand,0.11,0.11,0.07,0.02,0,0,0.02,0,,,,,,
Muhamed Besic,None,None,None,None,None,None,None,None,,,,,,
Marcus Bettinelli,0.00,0.00,0.00,None,None,None,None,None,,,,,,
Yves Bissouma,0.00,0.00,0.00,0.19,0,0,0.22,0,,,,,,
Jayden Bogle,0.00,0.00,0.00,0.32,1,0,0.12,0,,,,,,
Mateusz Bogusz,0.00,0.00,0.00,None,None,None,None,None,,,,,,
Tolaji Bola,None,None,None,None,None,None,None,None,,,,,,
Yannick Bolasie,None,None,None,None,None,None,None,None,,,,,,
Willy Boly,0.02,0.01,0.17,0.0,0,0,0.0,0,,,,,,
Jonathan Bond,None,None,None,None,None,None,None,None,,,,,,
Sofiane Boufal,0.00,0.00,0.00,None,None,None,None,None,,,,,,
Jamie Bowden,None,None,None,None,None,None,None,None,,,,,,
Jarrod Bowen,0.00,0.00,0.00,0.3,0,1,0.72,0,,,,,,
Morgan Boyes,None,None,None,None,None,None,None,None,,,,,,
Robbie Brady,0.06,0.09,0.07,0.3,0,2,0.97,0,,,,,,
Jarrad Branthwaite,0.00,0.00,0.00,0.0,0,0,0.0,0,,,,,,
Claudio Bravo,0.00,0.00,0.00,None,None,None,None,None,,,,,,
James Bree,0.00,0.00,0.00,None,None,None,None,None,,,,,,
Rhian Brewster,0.14,0.10,0.21,0.36,0,1,0.56,0,,,,,,
George Broadbent,None,None,None,None,None,None,None,None,,,,,,
Armando Broja,None,None,None,None,None,None,None,None,,,,,,
Josh Brownhill,0.05,0.06,0.10,0.27,0,0,0.22,0,,,,,,
Bruno Fernandes,0.43,0.40,0.38,0.0,0,0,0.0,0,,,,,,
Bruno Jordão,None,None,None,None,None,None,None,None,,,,,,
Zak Brunt,None,None,None,None,None,None,None,None,,,,,,
Joe Bryan,0.01,0.02,0.12,0.0,0,0,0.0,0,,,,,,
Oliver Burke,0.05,0.03,0.04,0.65,0,1,0.63,1,,,,,,
Dan Burn,0.00,0.00,0.11,None,None,None,None,None,,,,,,
Robbie Burton,None,None,None,None,None,None,None,None,,,,,,
Jack Butland,0.00,0.00,0.00,0.0,0,0,0.0,0,,,,,,
David Button,0.00,0.00,0.00,0.0,0,0,0.0,0,,,,,,
Oskar Buur,0.00,0.00,0.00,None,None,None,None,None,,,,,,
Willy Caballero,0.00,0.00,0.00,None,None,None,None,None,,,,,,
